Game ID,Team 1,Team 2,City of match,Day,Date of Match,Time of Match,Avg Wind Speed,Avg Humidity,"Inn 1 Team 1 NOP R>25,SR>125","Inn 1 Team 1 NOP R<25, SR>125",Inn 1 Team 1 Total 4s,Inn 1 Team 1 Total 6s,Inn 1 Team 1 Max Strike Rate_ALLBatsmen,Inn 1 Team 2 NoP fast bowlers,Inn 1 Team 2 NoP Spinners,Inn 1 Team 2 wickets taken_catches_runout,Inn1 Team 2 wickets taken_ bowled _lbw_caught by keeper_stumping,Inn 1 Team 2 Extras conceded in_wides_No Balls,"Inn 2 Team 2 NOP R>25,SR>125","Inn 2 Team 2 NOP R<25, SR>125",Inn 2 Team 2 Total 4s,Inn 2 Team 2 Total 6s,Inn 2 Team 2 Max Strike Rate_ALLBatsmen,Inn 2 Team 1 NoP fast bowlers,Inn 2 Team 1 NoP Spinners,Inn 2 Team 1 wickets taken_catches_runout,Inn2 Team 1 wickets taken_ bowled _lbw_caught by keeper_stumping,Inn 2 Team 1 Extras conceded in_wides_No Balls,"Team won (team 1=1, team 2=0)"
253,Chennai Super Kings,Mumbai Indians, Chennai,Wed,"Apr 4,2012",20:00:00,5,0.62,1,1,6,1,150,4,2,9,1,7,1,0,9,5,142.85,3,3,1,1,3,
254,Kolkata Knight Riders,Delhi Daredevils, Kolkata,Thu,"Apr 5,2012",20:00:00,6,0.66,1,3,6,5,200,3,3,3,6,2,1,1,8,4,210,3,2,1,1,1,
255,Pune Warriors,Mumbai Indians, Mumbai,Fri,"Apr 6,2012",16:00:00,5,0.64,0,2,11,1,155.55,4,2,4,5,3,0,1,8,1,166.66,4,2,2,7,4,
256,Rajasthan Royals,Kings XI Punjab, Jaipur,Fri,"Apr 6,2012",20:00:00,5,0.64,1,3,23,3,366.66,4,2,1,3,11,2,3,14,4,166.66,2,4,6,3,2,
257,Royal Challengers Bangalore,Delhi Daredevils, Bangalore,Sat,"Apr 7,2012",16:00:00,5,0.62,2,0,14,5,157.89,4,2,6,2,2,1,2,13,2,160,4,2,6,1,2,
258,Chennai Super Kings,Deccan Chargers, Visakhapatnam,Sat,"Apr 7,2012",20:00:00,5,0.62,3,1,10,12,238.88,5,1,4,1,8,0,3,11,4,187.5,3,4,5,5,3,
259,Rajasthan Royals,Kolkata Knight Riders, Jaipur,Sun,"Apr 8,2012",16:00:00,5,0.6,2,2,13,6,209.09,3,3,2,3,3,0,0,10,5,227.27,2,3,4,6,5,
260,Pune Warriors,Kings XI Punjab, Pune,Sun,"Apr 8,2012",20:00:00,5,0.6,0,1,10,8,300,4,2,3,3,5,1,1,11,4,200,4,2,6,2,5,
261,Deccan Chargers,Mumbai Indians, Visakhapatnam,Mon,"Apr 9,2012",20:00:00,5,0.63,2,1,6,8,200,3,2,6,3,4,1,2,8,8,175,2,3,3,2,0,
262,Kolkata Knight Riders,Royal Challengers Bangalore, Bangalore,Tue,"Apr 10,2012",16:00:00,5,0.64,2,2,15,6,400,4,2,6,2,2,0,2,8,3,166.66,4,1,6,3,8,
263,Chennai Super Kings,Delhi Daredevils, Delhi,Tue,"Apr 10,2012",20:00:00,5,0.64,0,2,7,3,160,3,3,6,2,4,2,0,11,3,165.38,3,3,2,0,0,
264,Mumbai Indians,Rajasthan Royals, Mumbai,Wed,"Apr 11,2012",20:00:00,6,0.67,3,2,14,12,300,2,4,4,2,0,2,3,12,10,233.33,4,2,5,5,3,
265,Royal Challengers Bangalore,Chennai Super Kings, Chennai,Thu,"Apr 12,2012",16:00:00,6,0.62,2,4,14,12,600,3,4,7,1,14,3,2,15,11,400,3,2,5,0,4,
266,Pune Warriors,Kings XI Punjab, Chandigarh,Thu,"Apr 12,2012",20:00:00,6,0.62,0,1,10,2,177.77,4,1,6,4,5,0,0,14,1,123.52,5,1,2,1,0,
267,Rajasthan Royals,Kolkata Knight Riders, Kolkata,Fri,"Apr 13,2012",20:00:00,5,0.65,0,1,13,2,133.33,3,3,3,2,9,0,3,11,3,233.33,1,5,3,2,6,
268,Chennai Super Kings,Pune Warriors, Pune,Sat,"Apr 14,2012",20:00:00,7,0.58,2,1,13,4,250,4,2,4,1,5,2,1,12,5,200,4,2,2,1,3,
269,Kings XI Punjab,Kolkata Knight Riders, Kolkata,Sun,"Apr 15,2012",16:00:00,8,0.5,0,3,7,5,300,3,3,4,5,1,1,2,10,2,169.23,3,2,3,4,2,
